,Flight,price_day1,price_day2,price_day3,price_day4,price_day5,price_day6,price_day7,price_day8,price_day9,price_day10,price_day11,price_day12,price_day13,price_day14,price_day15,price_day16,price_day17,price_day18,price_day19,price_day20,price_day21,price_day22,price_day23,price_day24,price_day25,price_day26,price_day27,price_day28,price_day29,price_day30
0,YUL-YYZ,356,306,326,398,264,233,312,323,427,513,336,281,233,338,207,227,447,310,491,413,285,324,262,295,503,255,475,389,223,207
1,YYZ-YUL,360,230,244,399,338,251,253,380,209,303,417,450,249,288,269,364,315,444,253,226,269,350,321,290,398,395,443,241,264,298
2,YUL-YHZ,516,387,547,505,222,338,259,540,554,557,331,282,289,542,212,182,448,257,535,292,562,218,362,209,355,398,331,378,395,315
3,YHZ-YUL,352,796,938,665,360,626,585,752,562,1041,891,589,1037,821,869,1041,1007,334,516,420,845,303,750,876,284,1035,791,881,900,674
4,YUL-YVR,398,384,683,623,613,524,499,300,558,294,481,344,552,340,355,349,327,522,519,638,634,336,405,568,422,681,577,663,659,485
5,YVR-YUL,772,784,458,675,894,738,622,628,675,658,654,536,459,719,728,699,454,607,452,724,649,690,609,868,529,406,816,451,791,644
6,YUL-YOW,533,433,622,454,354,462,459,674,408,680,343,411,588,599,336,572,328,359,597,698,653,609,584,379,499,309,302,472,569,516
7,YOW-YUL,1076,1108,666,838,913,630,1116,731,809,618,965,1101,652,727,829,881,1011,798,1019,988,1006,621,679,955,980,625,825,893,1138,960
8,YUL-YWG,466,548,508,466,462,755,336,731,453,489,629,612,409,439,445,799,548,789,496,302,464,401,711,576,551,727,691,510,383,460
9,YWG-YUL,647,597,603,532,684,693,579,281,303,376,257,534,556,336,388,429,210,416,538,358,351,220,392,426,221,445,281,643,682,524
10,YUL-YXE,341,427,473,408,558,427,576,366,379,328,254,681,653,359,611,546,465,380,491,405,607,377,625,513,570,284,372,604,486,672
11,YXE-YUL,478,431,322,654,329,601,500,565,380,313,526,394,402,463,571,551,555,372,532,395,347,676,499,502,574,540,385,351,482,431
12,YUL-YYJ,553,595,864,664,1144,553,933,664,893,702,1111,939,951,895,889,592,1158,769,549,626,711,1199,575,959,858,589,1138,924,555,1016
13,YYJ-YUL,850,795,972,796,832,646,626,727,496,557,498,714,635,589,766,812,744,827,623,854,626,578,949,758,770,793,548,763,548,913
14,YUL-YYC,874,495,515,471,372,988,402,637,420,517,896,430,722,805,602,406,941,520,984,480,842,461,673,437,418,443,937,762,443,767
15,YYC-YUL,515,472,415,438,529,744,522,500,651,541,405,390,623,356,530,650,465,741,338,547,639,430,443,636,600,618,748,437,688,472
16,YUL-YEG,784,908,901,794,905,813,1079,1034,1095,1002,822,1177,1007,901,1126,753,725,922,1000,1187,1243,1205,1028,1050,1218,1038,769,745,841,834
17,YEG-YUL,1021,845,1077,948,941,1010,614,881,1131,628,930,906,773,725,652,949,706,787,911,969,960,1007,837,954,653,1087,1046,1004,1078,929
18,YUL-YXY,1357,1219,987,869,923,1303,1013,972,1037,961,1032,1079,1285,1257,1490,1209,1472,1188,945,1372,907,1369,881,1223,981,1464,1470,1226,1093,1090
19,YXY-YUL,958,1040,1043,1014,1086,881,885,1080,1068,848,820,1077,833,889,1081,930,988,937,1045,891,1000,872,993,892,967,1062,842,787,1068,884
20,YUL-YQR,509,709,578,622,684,326,387,636,707,438,595,594,387,267,745,412,413,636,518,299,413,290,467,524,672,673,463,489,349,485
21,YQR-YUL,243,262,688,500,685,400,433,245,359,202,258,719,390,497,440,442,540,328,419,255,406,659,352,349,282,363,506,419,533,677
22,YUL-YZF,313,586,340,560,258,325,448,329,321,571,279,406,572,366,273,455,583,402,278,431,439,299,493,465,439,406,473,424,531,312
23,YZF-YUL,383,516,381,324,348,413,484,276,234,482,528,346,512,535,414,249,224,465,429,531,486,389,509,307,419,222,276,236,367,233
